"Time (s) Run #1","Absolute Pressure 1 (kPa) Run #1","Absolute Pressure 2 (kPa) Run #1","Differential Pressure₁₋₂ (kPa) Run #1"
0.000,99.39,99.41,-0.01590
5.000,99.39,99.41,-0.01726
10.000,99.39,99.41,-0.01672
15.000,103.39,99.41,3.98037
20.000,104.25,99.41,4.84229
25.000,104.07,99.41,4.66465
30.000,103.77,99.41,4.36730
35.000,103.51,99.41,4.10768
40.000,103.29,99.40,3.88096
45.000,103.12,99.41,3.71036
50.000,102.99,99.41,3.58372
55.000,102.88,99.41,3.47047
60.000,102.78,99.41,3.37142
65.000,102.68,99.41,3.27559
70.000,102.61,99.41,3.20510
75.000,102.55,99.41,3.13816
80.000,102.48,99.41,3.07521
85.000,102.42,99.41,3.00877
90.000,102.36,99.41,2.95324
95.000,102.31,99.41,2.89678
100.000,102.26,99.41,2.84818
105.000,102.21,99.41,2.80225
110.000,102.17,99.41,2.76310
115.000,102.13,99.41,2.72521
120.000,102.10,99.41,2.69026
125.000,102.07,99.41,2.65950
130.000,102.04,99.41,2.62948
135.000,102.01,99.41,2.60609
140.000,101.99,99.41,2.58125
145.000,101.97,99.41,2.55961
150.000,101.95,99.40,2.54003
155.000,101.93,99.41,2.52166
160.000,101.91,99.41,2.50268
165.000,101.90,99.41,2.48762
170.000,101.88,99.41,2.47214
175.000,101.87,99.41,2.45857
180.000,101.86,99.41,2.44763
185.000,101.85,99.41,2.43604
190.000,101.83,99.41,2.42557
195.000,101.82,99.41,2.41351
200.000,101.82,99.41,2.40686
205.000,101.81,99.41,2.39683
210.000,101.80,99.41,2.38793
215.000,101.79,99.41,2.38015
220.000,101.78,99.41,2.37332
225.000,101.78,99.41,2.36683
230.000,101.77,99.41,2.36508
235.000,101.77,99.41,2.35484
240.000,101.76,99.41,2.35144
245.000,101.76,99.41,2.34888
250.000,101.75,99.41,2.34289
255.000,101.75,99.41,2.34017
260.000,101.74,99.41,2.33645
265.000,101.75,99.41,2.33490
270.000,101.74,99.41,2.33500
275.000,101.73,99.41,2.32186
280.000,101.73,99.41,2.32381
285.000,101.73,99.41,2.32713
290.000,101.73,99.41,2.32740
295.000,101.74,99.41,2.33372
300.000,101.74,99.41,2.33084
305.000,101.74,99.41,2.33145
310.000,101.75,99.41,2.33729
315.000,101.75,99.41,2.33407
320.000,101.75,99.41,2.33808
325.000,101.75,99.41,2.33793
330.000,101.75,99.41,2.34217
335.000,101.75,99.41,2.34645
340.000,101.76,99.41,2.34985
345.000,101.76,99.41,2.35093
350.000,101.76,99.41,2.35331
355.000,101.77,99.41,2.35689
360.000,101.77,99.41,2.35972
365.000,101.77,99.41,2.36456
370.000,101.78,99.41,2.37039
375.000,101.78,99.41,2.37331
380.000,101.79,99.41,2.37640
385.000,101.79,99.41,2.38058
390.000,101.79,99.41,2.38345
395.000,101.80,99.41,2.39050
400.000,101.81,99.41,2.39750
405.000,101.81,99.41,2.40156
410.000,101.82,99.41,2.40849
415.000,101.82,99.41,2.41092
420.000,101.83,99.41,2.41628
425.000,101.84,99.41,2.42177
430.000,101.84,99.41,2.42218
435.000,101.84,99.41,2.43265
440.000,101.85,99.41,2.44191
445.000,101.86,99.41,2.44847
450.000,101.86,99.41,2.45362
